Acero		
Tiempo	Fuerza	Desplazamiento
seg	N	mm
0	-0.5245209	0
0.01	-0.5245209	5.208333E-05
0.02	-0.5245209	0.0002604167
0.03	-0.5245209	0.0006354167
0.04	-0.5245209	0.001135417
0.05	-0.5245209	0.001739583
0.06	-0.5245209	0.0024375
0.07	-0.5245209	0.0031875
0.08	-0.5245209	0.003979167
0.09	-0.5245209	0.00478125
0.1	-0.5245209	0.00559375
0.11	-0.5245209	0.00640625
0.12	-0.5245209	0.007229167
0.13	-0.5245209	0.008052084
0.14	23.31734	0.008885416
0.15	31.0421	0.00971875
0.16	32.61566	0.01055208
0.17	35.95352	0.01139583
0.18	39.38675	0.01223958
0.19	41.8663	0.01308333
0.2	44.82269	0.01392708
0.21	46.34857	0.01477083
0.22	50.0679	0.01560417
0.23	53.31039	0.0164375
0.24	57.07741	0.01725
0.25	58.93707	0.01807292
0.26	62.56104	0.01889583
0.27	65.18364	0.01971875
0.28	69.57054	0.02054167
0.29	74.14818	0.021375
0.3	80.10864	0.02219792
0.31	81.96831	0.02304167
0.32	87.40425	0.023875
0.33	95.4628	0.02471875
0.34	100.0404	0.0255625
0.35	101.3756	0.02639583
0.36	109.005	0.02721875
0.37	113.9641	0.02805208
0.38	116.0145	0.028875
0.39	123.1194	0.02970833
0.4	126.8387	0.03054167
0.41	131.6547	0.031375
0.42	137.2814	0.03221875
0.43	143.8141	0.0330625
0.44	146.6274	0.03390625
0.45	150.013	0.03476042
0.46	154.9721	0.03560417
0.47	160.6464	0.0364375
0.48	165.7963	0.03726042
0.49	170.9938	0.03808333
0.5	175.9052	0.03890625
0.51	180.1014	0.03971875
0.52	184.4883	0.04055208
0.53	190.2103	0.041375
0.54	192.7853	0.04220833
0.55	197.7921	0.04303125
0.56	201.3206	0.04386458
0.57	207.2811	0.04470833
0.58	213.4323	0.04555208
0.59	216.2933	0.04638541
0.6	221.4909	0.04721875
0.61	226.9745	0.04805208
0.62	232.4581	0.04888542
0.63	236.9881	0.04971875
0.64	242.0902	0.05054167
0.65	247.5262	0.05138542
0.66	252.533	0.05221875
0.67	254.0588	0.05305208
0.68	256.9675	0.05389583
0.69	261.3544	0.05473958
0.7	269.1269	0.05558333
0.71	274.2291	0.05642708
0.72	276.2318	0.05726042
0.73	279.5219	0.05809375
0.74	288.4865	0.05891667
0.75	294.4946	0.05973958
0.76	297.9755	0.0605625
0.77	302.4101	0.06138542
0.78	305.9387	0.06220833
0.79	309.1335	0.06304166
0.8	315.8093	0.06386458
0.81	320.7684	0.06469791
0.82	322.9141	0.06554166
0.83	328.4931	0.06638542
0.84	332.9277	0.06722917
0.85	338.6021	0.0680625
0.86	342.7029	0.06888542
0.87	346.2791	0.06971875
0.88	348.5203	0.07054166
0.89	355.5775	0.07138541
0.9	360.918	0.07221875
0.91	365.1142	0.07304166
0.92	369.3581	0.07388542
0.93	374.5079	0.07472917
0.94	380.3253	0.07557292
0.95	381.6605	0.07642708
0.96	387.907	0.07726041
0.97	393.4384	0.07810417
0.98	401.5923	0.07892708
0.99	405.7884	0.07975
1	409.4124	0.08057292
1.01	412.5118	0.08139583
1.02	418.663	0.08221875
1.03	420.9518	0.08304167
1.04	424.8619	0.083875
1.05	431.4899	0.08469792
1.06	436.0676	0.08553125
1.07	440.073	0.086375
1.08	444.0308	0.08721875
1.09	449.6097	0.08805208
1.1	453.6629	0.08888542
1.11	459.4326	0.08971875
1.12	464.3917	0.09054167
1.13	468.8263	0.091375
1.14	474.4053	0.09220833
1.15	479.7458	0.09305208
1.16	483.3221	0.09388541
1.17	486.8507	0.09471875
1.18	490.7131	0.0955625
1.19	493.5742	0.09641667
1.2	499.0101	0.09726042
1.21	503.9215	0.09810416
1.22	509.3098	0.0989375
1.23	514.3165	0.09977083
1.24	519.8479	0.1005833
1.25	523.2334	0.1014062
1.26	528.9078	0.1022292
1.27	532.8179	0.1030521
1.28	537.4908	0.103875
1.29	543.4513	0.1046979
1.3	548.8396	0.1055312
1.31	553.0358	0.1063646
1.32	557.6134	0.1072083
1.33	562.4294	0.1080521
1.34	564.909	0.1088854
1.35	570.631	0.1097187
